id,address,address2,tel,fax,category,prefecture,district,pic_appearance,pic_map,type,lat,lng
1,ฝ่ายลูกค้าสัมพันธ์,อาคารแคปปิตอลทาวเวอร์ออลซีซั่นส์เพลสชั้น12,1751,02-257-7920,สำนักงานใหญ่,กรุงเทพมหานคร,ปทุมวัน,,map_callcenter.jpg,HQ(call center),13.738833,100.547308
2,อาคารธนิยะชั้น2สีลม,ติดกับทางเชื่อมสถานีรถไฟศาลาแดง62ถนนสีลมกรุงเทพ10330,02-632-6700,02-632-6709,สึลม,กรุงเทพมหานคร,,pic_silomthaniya.jpg,map_silomthaniya.jpg,Branch,13.728765,100.534002
3,บิ๊กซีเอ๊กซ์ตร้ารัชดา(คาร์ฟูร์เดิม),ชั้น1ข้างร้านเอ็มเค(MK),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_ratchadapisek.jpg,Servicepoint,13.7687103,100.571841
4,บิ๊กซีดาวคะนอง,ชั้น2เยื้องร้านบิ๊กคาเมร่า(Big Camera),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,pic_daokanong.jpg,map_daokanong.jpg,Servicepoint,13.69906994,100.4824322
5,N mark plaza (น้อมจิตต์บางกะปิ),ชั้น2หลังจอทีวีพลาสมาติดทางเชื่อมระหว่างเดอะมอลล์กับห้างน้อมจิตต์,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_nomjitkapi.jpg,Servicepoint,13.767742,100.642791
6,บิ๊กซีหัวหมาก(รามคำแหง),ชั้นใต้ดินตรงข้ามร้านดีแทค(DTAC),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,bigmak.jpg,map_bigmak.jpg,Servicepoint,13.75552015,100.6128171
7,บิ๊กซีสะพานใหม่,ชั้น1ข้างร้านโอเรียนทอลพริ๊นเซส(Oriental Princess),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_newbridge.jpg,Servicepoint,13.890992,100.606296
8,บิ๊กซีพระราม2,ชั้น1หน้าร้านเอสแอนด์พี(S&P),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_rama2.jpg,Servicepoint,13.661469,100.440548
9,บางแคพลาซ่า,ตรงข้ามเดอะมอลล์บางแค36/4ม.4ซ.เพชรเกษม47/2ถ.เพชรเกษมแขวงบางแคเขตบางแคกทม.,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,bangplaza.jpg,map_bangplaza.jpg,Servicepoint,13.710333,100.408766
10,บิ๊กซีบางนา,ชั้น1ตรงข้ามเคเอฟซี(KFC)ติดร้านโอเรียนทอลพริ้นเซส(Oriental Princess),,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_bigbang.jpg,Servicepoint,13.668862,100.635734
11,บิ๊กซีราชดำริ,ชั้น3ข้างร้านบิ๊กคาเมร่า(Big Camera)บันไดเลื่อนฝั่งลานจอดรถ,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,ratchadamri.jpg,map_ratchadamri.jpg,Servicepoint,13.747168,100.541271
12,ตรงข้ามซีคอนสแควร์ศรีนครินทร์,13/31-32 ถ.ศรีนครินทร์แขวงหนองบอนเขตประเวศกทม.,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,srinakarin.jpg,map_srinakarin.jpg,Servicepoint,13.692899,100.647105
13,บิ๊กซีสะพานควาย,ชั้นใต้ดิน(ชั้นG)หน้าธนาคารไทยพาณิชย์,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_saphankwai.jpg,Servicepoint,13.791298,100.54956
14,บิ๊กซีแฟชั่นไอส์แลนด์มีนบุรี,ประตูทางเข้าบิ๊กซีชั้น2,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_islandsafari.jpg,Servicepoint,13.825621,100.678815
15,บิ๊กซีลาดพร้าว,ชั้น1หน้าจุดบริการลูกค้าบิ๊กซี,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_latphrao.jpg,Servicepoint,13.785116,100.612709
16,บิ๊กซีเอ๊กซ์ตร้าพระราม4,ชั้น1ตรงข้ามสเวนเซ่นส์,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_extrarama.jpg,Servicepoint,13.71876978,100.568912
17,ยูเนี่ยนมอลล์,ชั้นF2 (ชั้น3)ข้างCoffee Today,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,,map_unionmall.jpg,Servicepoint,13.813775,100.56169
18,พรอมิสสาขาปิ่นเกล้า,เยื้องพาต้าปิ่นเกล้า,,,จุดให้บริการในกรุงเทพฯ และปริมณฑล,กรุงเทพมหานคร,,pic_promisepinklao.jpg,map_promisepinklao.jpg,Servicepoint,13.770016,100.484394
